Year,Indicator_Name,Value
2018,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",0.96964
2011,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",0.90899
2006,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",0.84102
2001,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",0.80467
1991,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",0.671329975
1981,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",0.608030021
2017,"School enrollment, primary (gross), gender parity index (GPI)",1.14725
2016,"School enrollment, primary (gross), gender parity index (GPI)",1.16104
2015,"School enrollment, primary (gross), gender parity index (GPI)",1.11618
2014,"School enrollment, primary (gross), gender parity index (GPI)",1.11393
2013,"School enrollment, primary (gross), gender parity index (GPI)",1.11811
2012,"School enrollment, primary (gross), gender parity index (GPI)",1.03883
2011,"School enrollment, primary (gross), gender parity index (GPI)",1.03525
2010,"School enrollment, primary (gross), gender parity index (GPI)",1.02797
2009,"School enrollment, primary (gross), gender parity index (GPI)",1.03223
2008,"School enrollment, primary (gross), gender parity index (GPI)",1.01991
2007,"School enrollment, primary (gross), gender parity index (GPI)",0.993
2003,"School enrollment, primary (gross), gender parity index (GPI)",0.98615
2002,"School enrollment, primary (gross), gender parity index (GPI)",0.88545
2001,"School enrollment, primary (gross), gender parity index (GPI)",0.8684
2000,"School enrollment, primary (gross), gender parity index (GPI)",0.85883
1999,"School enrollment, primary (gross), gender parity index (GPI)",0.853479981
1998,"School enrollment, primary (gross), gender parity index (GPI)",0.851300001
1997,"School enrollment, primary (gross), gender parity index (GPI)",0.846099973
1996,"School enrollment, primary (gross), gender parity index (GPI)",0.837740004
1995,"School enrollment, primary (gross), gender parity index (GPI)",0.827579975
1994,"School enrollment, primary (gross), gender parity index (GPI)",0.825789988
1993,"School enrollment, primary (gross), gender parity index (GPI)",0.816240013
1992,"School enrollment, primary (gross), gender parity index (GPI)",0.784399986
1991,"School enrollment, primary (gross), gender parity index (GPI)",0.772369981
1990,"School enrollment, primary (gross), gender parity index (GPI)",0.747460008
1989,"School enrollment, primary (gross), gender parity index (GPI)",0.733940005
1988,"School enrollment, primary (gross), gender parity index (GPI)",0.748319983
1987,"School enrollment, primary (gross), gender parity index (GPI)",0.741540015
1986,"School enrollment, primary (gross), gender parity index (GPI)",0.727020025
1985,"School enrollment, primary (gross), gender parity index (GPI)",0.704419971
1984,"School enrollment, primary (gross), gender parity index (GPI)",0.688080013
1983,"School enrollment, primary (gross), gender parity index (GPI)",0.684109986
1982,"School enrollment, primary (gross), gender parity index (GPI)",0.675629973
1981,"School enrollment, primary (gross), gender parity index (GPI)",0.675629973
1980,"School enrollment, primary (gross), gender parity index (GPI)",0.668590009
1979,"School enrollment, primary (gross), gender parity index (GPI)",0.66486001
1978,"School enrollment, primary (gross), gender parity index (GPI)",0.652159989
1977,"School enrollment, primary (gross), gender parity index (GPI)",0.663420022
1976,"School enrollment, primary (gross), gender parity index (GPI)",0.661220014
1975,"School enrollment, primary (gross), gender parity index (GPI)",0.656140029
1974,"School enrollment, primary (gross), gender parity index (GPI)",0.654089987
